System SN,Installation Date,quantity
JY010008,01/19/28,1
JY010009,01/20/28,1
JY010010,01/21/28,1
JY010011,01/24/28,1
JY010012,01/25/28,1
JY020001,02/01/28,1
JY020002,02/03/28,1
JY020003,02/04/28,1
JY020004,02/07/28,1
JY020005,02/08/28,1
JY020006,02/28/28,1
JY030001,03/03/28,1
JY030002,03/07/28,1
JY030003,03/09/28,1
JY030004,03/10/28,1
JY030005,03/14/28,1
JY030006,03/15/28,1
JY030007,03/16/28,1
JY030008,03/17/28,1
JY030009,03/18/28,1
JY030010,03/24/28,1
JY030011,03/26/28,1
JY030012,03/29/28,1
JY040001,04/03/28,1
JY040002,04/04/28,1
JY040003,04/06/28,1
JY040004,04/13/28,1
JY040005,04/14/28,1
JY040006,04/15/28,1
JY040007,04/17/28,1
JY040008,04/18/28,1
JY040009,04/23/28,1
JY040010,04/27/28,1
JY040011,04/29/28,1
JY040012,04/30/28,1
JY050001,05/03/28,1
JY050002,05/04/28,1
JY050003,05/06/28,1
JY050004,05/07/28,1
JY050005,05/08/28,1
JY050006,05/09/28,1
JY050007,05/10/28,1
JY050008,05/16/28,1
JY050009,05/21/28,1
JY050010,05/24/28,1
JY050011,05/25/28,1
JY050012,05/26/28,1
JY050013,05/27/28,1
JY050014,05/28/28,1
JY050015,05/29/28,1
JY050016,05/30/28,1
JY060001,06/01/28,1
JY060002,06/02/28,1
JY060003,06/03/28,1
JY060004,06/07/28,1
JY060005,06/09/28,1
JY060006,06/13/28,1
JY060007,06/15/28,1
JY060008,06/16/28,1
JY060009,06/17/28,1
JY060010,06/21/28,1
JY060011,06/23/28,1
JY060012,06/25/28,1
JY060013,06/26/28,1
JY060014,06/27/28,1
JY060015,06/29/28,1
JY060016,06/30/28,1
JY070001,07/03/28,1
JY070002,07/04/28,1
JY070003,07/05/28,1
JY070004,07/11/28,1
JY070005,07/12/28,1
JY070006,07/14/28,1
JY070007,07/16/28,1
JY070008,07/17/28,1
JY070009,07/20/28,1
JY070010,07/22/28,1
JY070011,07/23/28,1
JY070012,07/24/28,1
JY070013,07/25/28,1
JY070014,07/26/28,1
JY070015,07/27/28,1
JY070016,07/30/28,1
JY080001,08/02/28,1
JY080002,08/05/28,1
JY080003,08/08/28,1
JY080004,08/09/28,1
JY080005,08/10/28,1
JY080006,08/16/28,1
JY080007,08/19/28,1
JY080008,08/22/28,1
JY080009,08/26/28,1
JY080010,08/29/28,1
JY080011,08/30/28,1
JY080012,08/31/28,1
JY090001,09/01/28,1
JY090002,09/02/28,1
JY090003,09/03/28,1
JY090004,09/04/28,1
JY090005,09/05/28,1
JY090006,09/09/28,1
JY090007,09/10/28,1
JY090008,09/15/28,1
JY090009,09/21/28,1
JY090010,09/25/28,1
JY090011,09/26/28,1
JY090012,09/29/28,1
JY100001,10/03/28,1
JY100002,10/04/28,1
JY100003,10/06/28,1
JY100004,10/08/28,1
JY100005,10/10/28,1
JY100006,10/12/28,1
JY100007,10/13/28,1
JY100008,10/14/28,1
JY100009,10/19/28,1
JY100010,10/24/28,1
JY100011,10/26/28,1
JY100012,10/30/28,1
JY110001,11/02/28,1
JY110002,11/03/28,1
JY110003,11/05/28,1
JY110004,11/07/28,1
JY110005,11/11/28,1
JY110006,11/14/28,1
JY110007,11/15/28,1
JY110008,11/17/28,1
JY110009,11/18/28,1
JY110010,11/21/28,1
JY110011,11/29/28,1
JY110012,11/30/28,1
JY120001,12/01/28,1
JY120002,12/02/28,1
JY120003,12/03/28,1
JY120004,12/05/28,1
JY120005,12/10/28,1
JY120006,12/13/28,1
JY120007,12/15/28,1
JY120008,12/16/28,1
JY120009,12/19/28,1
JY120010,12/22/28,1
JY120011,12/25/28,1
JY120012,12/29/28,1
JZ010001,01/01/29,1
JZ010002,01/02/29,1
JZ010003,01/03/29,1
JZ010004,01/06/29,1
JZ010005,01/09/29,1
JZ010006,01/11/29,1
JZ010007,01/16/29,1
JZ010008,01/17/29,1
JZ010009,01/22/29,1
JZ010010,01/25/29,1
JZ010011,01/28/29,1
JZ010012,01/30/29,1
JZ020001,02/02/29,1
JZ020002,02/04/29,1
JZ020003,02/06/29,1
JZ020004,02/08/29,1
JZ020005,02/20/29,1
JZ020006,02/22/29,1
JZ030001,03/01/29,1
JZ030002,03/03/29,1
JZ030003,03/05/29,1
JZ030004,03/07/29,1
JZ030005,03/09/29,1
JZ030006,03/10/29,1
JZ030007,03/13/29,1
JZ030008,03/17/29,1
JZ030009,03/25/29,1
JZ030010,03/27/29,1
JZ030011,03/28/29,1
JZ030012,03/30/29,1
JZ040001,04/01/29,1
JZ040002,04/05/29,1
JZ040003,04/06/29,1
JZ040004,04/10/29,1
JZ040005,04/11/29,1
JZ040006,04/15/29,1
JZ040007,04/19/29,1
JZ040008,04/21/29,1
JZ040009,04/22/29,1
JZ040010,04/25/29,1
JZ040011,04/26/29,1
JZ040012,04/30/29,1
JZ050001,05/02/29,1
JZ050002,05/10/29,1
JZ050003,05/11/29,1
JZ050004,05/12/29,1
JZ050005,05/14/29,1
JZ050006,05/16/29,1
JZ050007,05/17/29,1
JZ050008,05/18/29,1
JZ050009,05/20/29,1
JZ050010,05/22/29,1
JZ050011,05/23/29,1
JZ050012,05/25/29,1
JZ050013,05/28/29,1
JZ050014,05/29/29,1
JZ050015,05/30/29,1
JZ050016,05/31/29,1
JZ060001,06/01/29,1
JZ060002,06/05/29,1
JZ060003,06/07/29,1
JZ060004,06/09/29,1
JZ060005,06/10/29,1
JZ060006,06/12/29,1
JZ060007,06/14/29,1
JZ060008,06/16/29,1
JZ060009,06/18/29,1
JZ060010,06/22/29,1
JZ060011,06/23/29,1
JZ060012,06/24/29,1
JZ060013,06/25/29,1
JZ060014,06/26/29,1
JZ060015,06/27/29,1
JZ060016,06/28/29,1
JZ070001,07/01/29,1
JZ070002,07/02/29,1
JZ070003,07/07/29,1
JZ070004,07/12/29,1
JZ070005,07/13/29,1
JZ070006,07/14/29,1
JZ070007,07/17/29,1
JZ070008,07/18/29,1
JZ070009,07/20/29,1
JZ070010,07/22/29,1
JZ070011,07/23/29,1
JZ070012,07/25/29,1
JZ070013,07/26/29,1
JZ070014,07/29/29,1
JZ070015,07/30/29,1
JZ070016,07/31/29,1
JZ080001,08/02/29,1
JZ080002,08/04/29,1
JZ080003,08/05/29,1
JZ080004,08/06/29,1
JZ080005,08/07/29,1
JZ080006,08/11/29,1
JZ080007,08/16/29,1
JZ080008,08/18/29,1
JZ080009,08/21/29,1
JZ080010,08/24/29,1
JZ080011,08/29/29,1
JZ080012,08/30/29,1
JZ090001,09/02/29,1
JZ090002,09/03/29,1
JZ090003,09/04/29,1
JZ090004,09/08/29,1
JZ090005,09/09/29,1
JZ090006,09/13/29,1
JZ090007,09/15/29,1
JZ090008,09/16/29,1
JZ090009,09/21/29,1
JZ090010,09/23/29,1
JZ090011,09/27/29,1
JZ090012,09/28/29,1
JZ100001,10/03/29,1
JZ100002,10/09/29,1
JZ100003,10/10/29,1
JZ100004,10/11/29,1
JZ100005,10/12/29,1
JZ100006,10/18/29,1
JZ100007,10/21/29,1
JZ100008,10/23/29,1
JZ100009,10/24/29,1
JZ100010,10/25/29,1
JZ100011,10/28/29,1
JZ100012,10/31/29,1
JZ110001,11/01/29,1
JZ110002,11/11/29,1
JZ110003,11/14/29,1
JZ110004,11/16/29,1
JZ110005,11/17/29,1
JZ110006,11/20/29,1
JZ110007,11/21/29,1
JZ110008,11/25/29,1
JZ110009,11/27/29,1
JZ110010,11/28/29,1
JZ110011,11/29/29,1
JZ110012,11/30/29,1
JZ120001,12/02/29,1
JZ120002,12/03/29,1
JZ120003,12/05/29,1
JZ120004,12/07/29,1
JZ120005,12/10/29,1
JZ120006,12/12/29,1
JZ120007,12/14/29,1
JZ120008,12/16/29,1
JZ120009,12/18/29,1
JZ120010,12/20/29,1
JZ120011,12/23/29,1
JZ120012,12/25/29,1
KB010001,01/01/30,1
KB010002,01/02/30,1
KB010003,01/03/30,1
KB010004,01/04/30,1
KB010005,01/05/30,1
KB010006,01/06/30,1
KB010007,01/07/30,1
KB010008,01/08/30,1
KB010009,01/09/30,1
KB010010,01/11/30,1
KB010011,01/12/30,1
KB010012,01/13/30,1
KB010013,01/15/30,1
KB010014,01/18/30,1
KB010015,01/19/30,1
KB010016,01/20/30,1
KB010017,01/21/30,1
KB010018,01/22/30,1
KB010019,01/23/30,1
KB010020,01/25/30,1
KB010021,01/27/30,1
KB010022,01/28/30,1
KB010023,01/29/30,1
KB010024,01/31/30,1
KB020001,02/04/30,1
KB020002,02/13/30,1
KB020003,02/15/30,1
KB020004,02/21/30,1
KB020005,02/24/30,1
KB020006,02/25/30,1
KB030001,03/04/30,1
KB030002,03/08/30,1
KB030003,03/10/30,1
KB030004,03/11/30,1
KB030005,03/14/30,1
KB030006,03/15/30,1
KB030007,03/16/30,1
KB030008,03/17/30,1
KB030009,03/18/30,1
KB030010,03/26/30,1
KB030011,03/28/30,1
KB030012,03/31/30,1
KB040001,04/04/30,1
KB040002,04/09/30,1
KB040003,04/11/30,1
KB040004,04/12/30,1
KB040005,04/14/30,1
KB040006,04/15/30,1
KB040007,04/16/30,1
KB040008,04/18/30,1
KB040009,04/23/30,1
KB040010,04/24/30,1
KB040011,04/25/30,1
KB040012,04/28/30,1
KB050001,05/01/30,1
KB050002,05/04/30,1
KB050003,05/07/30,1
KB050004,05/09/30,1
KB050005,05/10/30,1
KB050006,05/11/30,1
KB050007,05/12/30,1
KB050008,05/14/30,1
KB050009,05/17/30,1
KB050010,05/19/30,1
KB050011,05/20/30,1
KB050012,05/24/30,1
KB050013,05/25/30,1
KB050014,05/27/30,1
KB050015,05/28/30,1
KB050016,05/31/30,1
KB060001,06/01/30,1
KB060002,06/03/30,1
KB060003,06/04/30,1
KB060004,06/05/30,1
KB060005,06/07/30,1
KB060006,06/08/30,1
KB060007,06/09/30,1
KB060008,06/11/30,1
KB060009,06/14/30,1
KB060010,06/17/30,1
KB060011,06/18/30,1
KB060012,06/19/30,1
KB060013,06/20/30,1
KB060014,06/24/30,1
KB060015,06/29/30,1
KB060016,06/30/30,1
KB070001,07/02/30,1
KB070002,07/03/30,1
KB070003,07/04/30,1
KB070004,07/05/30,1
KB070005,07/07/30,1
KB070006,07/08/30,1
KB070007,07/09/30,1
KB070008,07/12/30,1
KB070009,07/15/30,1
KB070010,07/16/30,1
KB070011,07/17/30,1
KB070012,07/18/30,1
KB070013,07/21/30,1
KB070014,07/22/30,1
KB070015,07/24/30,1
KB070016,07/31/30,1
KB080001,08/03/30,1
KB080002,08/06/30,1
KB080003,08/11/30,1
KB080004,08/13/30,1
KB080005,08/14/30,1
KB080006,08/15/30,1
KB080007,08/19/30,1
KB080008,08/22/30,1
KB080009,08/23/30,1
KB080010,08/25/30,1
KB080011,08/28/30,1
KB080012,08/31/30,1
KB090001,09/03/30,1
KB090002,09/06/30,1
KB090003,09/07/30,1
KB090004,09/09/30,1
KB090005,09/15/30,1
KB090006,09/18/30,1
KB090007,09/19/30,1
KB090008,09/21/30,1
KB090009,09/24/30,1
KB090010,09/26/30,1
KB090011,09/28/30,1
KB090012,09/30/30,1
KB100001,10/03/30,1
KB100002,10/04/30,1
KB100003,10/11/30,1
KB100004,10/12/30,1
KB100005,10/16/30,1
KB100006,10/17/30,1
KB100007,10/18/30,1
KB100008,10/19/30,1
KB100009,10/20/30,1
KB100010,10/22/30,1
KB100011,10/28/30,1
KB100012,10/29/30,1
KB110001,11/03/30,1
KB110002,11/04/30,1
KB110003,11/07/30,1
KB110004,11/10/30,1
KB110005,11/12/30,1
KB110006,11/16/30,1
KB110007,11/17/30,1
KB110008,11/22/30,1
KB110009,11/25/30,1
KB110010,11/26/30,1
KB110011,11/28/30,1
KB110012,11/30/30,1
KB120001,12/02/30,1
KB120002,12/04/30,1
KB120003,12/09/30,1
KB120004,12/11/30,1
KB120005,12/13/30,1
KB120006,12/14/30,1
KB120007,12/18/30,1
KB120008,12/19/30,1
KB120009,12/20/30,1
KB120010,12/23/30,1
KB120011,12/25/30,1
KB120012,12/28/30,1
