Storage_Location,Container_ID,Sub-Unit_ID,Part_Name,Unit_Cost,Target Quantity,Stocked Qty.,Lot_ID,Date_Stocked,Date_Picked,"0.5""-TC_Compatability","1.5""-TC_Compatability","2""-TC_Compatability","3""-TC_Compatability","4""-TC_Compatability","5""-TC_Compatability",Container Filled Mass (kg),Container Filled Mass (Lbs),Kit Assignmet,Manual Assignment,System SN,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
βA0a1,,B20250718-003,"TC Gasket - 0.5"" - EPDM",,20,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-004,"TC Gasket - 0.5"" - EPDM",,20,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-005,"TC Gasket - 0.5"" - EPDM",,20,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-006,"TC Gasket - 0.5"" - EPDM",,20,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-007,"TC Gasket - 1.5"" - EPDM",,100,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-008,"TC Gasket - 1.5"" - EPDM",,100,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-009,"TC Gasket - 1.5"" - EPDM",,100,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-010,"TC Gasket - 1.5"" - EPDM",,100,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-011,"TC Gasket - 1.5"" - EPDM",,100,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-012,"TC Gasket - 1.5"" - EPDM",,100,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-013,"TC Gasket - 1.5"" - Silicone",,6,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-014,"TC Gasket - 1.5"" - Silicone",,6,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-015,"TC Gasket - 1.5"" - Silicone",,6,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-016,"TC Gasket - 1.5"" - Silicone",,6,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-017,"TC Gasket - 1.5"" - Silicone",,6,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-018,"TC Gasket - 1.5"" - Silicone",,6,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-019,"TC Gasket - 2"" - Silicone",$0.19,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-020,"TC Gasket - 2"" - Silicone",$0.19,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-021,"TC Gasket - 2"" - Silicone",$0.19,4,2,OS-2023-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-022,"TC Gasket - 2"" - Silicone",,4,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-023,"TC Gasket - 2"" - Silicone",,4,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-024,"TC Gasket - 2"" - Silicone",,4,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-025,"TC Gasket - 3"" - Silicone",$0.38,10,10,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-026,"TC Gasket - 3"" - EPDM",$0.38,4,,OS-2024-12-01,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-027,"TC Gasket - 3"" - EPDM",$0.38,4,,OS-2024-12-01,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-028,"TC Gasket - 3"" - EPDM",$0.38,4,,OS-2024-12-01,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-029,"TC Gasket - 3"" - EPDM",$0.38,4,,OS-2024-12-01,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-030,"TC Gasket - 3"" - EPDM",$0.38,4,,OS-2024-12-01,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-031,"TC Gasket - 4"" - Silicone",$0.44,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-032,"TC Gasket - 4"" - Silicone",$0.44,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-033,"TC Gasket - 4"" - Silicone",$0.44,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-034,"TC Gasket - 4"" - Silicone",$0.44,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-035,"TC Gasket - 4"" - Silicone",$0.44,4,4,OS-2024-12-01,2025-07-18,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-036,"TC Gasket - 4"" - Silicone",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-037,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-038,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-039,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-040,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-041,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-042,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-043,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-044,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-045,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-046,"TC Gasket - 5"" - Silicone",$0.51,2,,OS-2024-12-01,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
